,Name,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Charge2,Charge3,Charge4,Charge5,y
5361,A14-07151_Ratio.21520.21520.2,1547.815159,0,0.0,0.000497,11,11.01348573,2.86e-07,6.164,0.337378181,0.651107016,0.444578794,0.002634765,0.406089909,0.811217492,0.005955861,1,0,0,0,0
11400,A14-07151_Ratio.04921.04921.2,1313.784886,1,0.142857143,0.002757,7,11.08581157,0.013,3.327,0.290967992,0.542046564,0.475403367,0.005534073,0.36401373,0.674667644,0.012073831,1,0,0,0,0
4302,A14-07151_Ratio.13487.13487.2,1229.696262,0,0.0,0.003172,9,11.23527191,0.00395,5.2326,0.107163825,0.15301352,0.926441934,0.00067568,0.109548557,0.157058973,0.00067568,1,0,0,0,0
1817,A14-07151_Ratio.31753.31753.2,2033.105,0,0.0,0.005,18,12.00622128,7.9e-05,10.8892,0.389441338,0.711374502,0.31312767,0.003911374,0.549364086,0.982563765,0.013373015,1,0,0,0,0
10841,A14-07151_Ratio.19329.19329.2,1626.9767,1,0.090909091,0.006,11,11.20476936,0.0065,7.5457,0.148451269,0.272742019,0.198286961,0.002112654,0.220352864,0.411282903,0.003614119,1,0,0,0,0
4068,A14-07151_Ratio.27536.27536.2,1386.821507,0,0.0,0.002882,10,10.72731146,0.095,1.4443,0.121002205,0.213405646,0.488721942,0.000837982,0.253620968,0.481495992,0.003451212,1,0,0,0,0
11979,A14-07151_Ratio.08879.08879.3,1597.021139,2,0.222222222,0.003976,9,11.46837539,1.51e-05,5.1649,0.087347112,0.178031772,0.890157875,0.000391749,0.227061774,0.42896182,0.003888579,0,1,0,0,0
3607,A14-07151_Ratio.21611.21611.3,1429.873495,1,0.125,0.003614,8,12.40865112,0.000214,5.8296,0.303000066,0.544752567,-0.417471902,0.004252407,0.429316601,0.676713707,0.01671906,0,1,0,0,0
11010,A14-07151_Ratio.15999.15999.2,1908.9157,1,0.066666667,0.007,15,9.300038458,0.056,7.0885,0.239237929,0.45898668,-0.336237951,0.001269974,0.365425534,0.699115193,0.009621441,1,0,0,0,0
4206,A14-07151_Ratio.29758.29758.2,1698.914,0,0.0,0.004,13,11.2121957,0.0041,9.0992,0.403541538,0.797401313,0.074202247,0.003018442,0.469191294,0.855259156,0.008193453,1,0,0,0,0
